relative_seconds,query,qtype
2.570574,api.steampowered.com,1
3.648442,disabled.invalid.lan,1
3.648516,disabled.invalid.lan,65
5.095248,api-v2.soundcloud.com,1
5.095290,api-v2.soundcloud.com,28
5.109448,dezyktpp25vy8.cloudfront.net,28
12.912889,client-update.fastly.steamstatic.com,1
16.646638,merlin-prod-updates.maverick-global.prod.1047games.com,1
16.646714,merlin-prod-updates.maverick-global.prod.1047games.com,28
17.357588,p2p-lhr1.discovery.steamserver.net,1
26.040623,o276210.ingest.us.sentry.io,1
26.394490,store.steampowered.com,1
26.679765,shared.steamstatic.com,1
26.679818,shared.steamstatic.com,65
26.691875,shared.valve.map.fastly.net,65
27.699138,steamcommunity.com,1
27.737052,gaming-sdk.com,1
27.737104,gaming-sdk.com,28
28.589050,api.epicgames.dev,1
28.589204,api.epicgames.dev,28
28.601187,api.epicgames.dev.cdn.cloudflare.net,28
37.104484,accounts.youtube.com,1
37.104526,accounts.youtube.com,28
47.489796,server-status-prod.maverick-rooster.prod.1047games.com,1
47.489909,server-status-prod.maverick-rooster.prod.1047games.com,28
47.554729,api-aga-prod.maverick-global.prod.1047games.com,1
47.554847,api-aga-prod.maverick-global.prod.1047games.com,28
48.973301,client-ip.maverick-global.prod.1047games.com,1
48.973436,client-ip.maverick-global.prod.1047games.com,28
50.681641,api-l4-aga-prod.maverick-global.prod.1047games.com,1
50.681756,api-l4-aga-prod.maverick-global.prod.1047games.com,28
52.316387,api-aga-prod.maverick-rooster.prod.1047games.com,28
52.316456,api-aga-prod.maverick-rooster.prod.1047games.com,1
55.939994,1047games-maverick-user-files-prod.s3.us-west-2.amazonaws.com,1
55.940078,1047games-maverick-user-files-prod.s3.us-west-2.amazonaws.com,28
55.952420,s3-r-w.us-west-2.amazonaws.com,28
58.040492,prod-processing-api.modulate.ai,1
58.040590,prod-processing-api.modulate.ai,28
59.116765,b-8abe5e5b949a.pr.edgegap.net,1
59.116890,b-8abe5e5b949a.pr.edgegap.net,28
59.215767,b-dc807eccc9c1.pr.edgegap.net,1
59.215816,b-dc807eccc9c1.pr.edgegap.net,28
59.313445,latency.media.gaming-sdk.com,1
59.313505,latency.media.gaming-sdk.com,28
59.313546,gateway.gaming-sdk.com,1
59.313581,gateway.gaming-sdk.com,28
59.316484,b-6ae21758be98.pr.edgegap.net,1
59.316526,b-6ae21758be98.pr.edgegap.net,28
59.414915,b-c7e2bf33180d.pr.edgegap.net,1
59.414966,b-c7e2bf33180d.pr.edgegap.net,28
59.584525,b-ffb7749d7439.pr.edgegap.net,1
59.584575,b-ffb7749d7439.pr.edgegap.net,28
59.700323,b-50fb650d10e0.pr.edgegap.net,1
59.700374,b-50fb650d10e0.pr.edgegap.net,28
60.575865,content-prod.maverick-global.prod.1047games.com,1
60.575978,content-prod.maverick-global.prod.1047games.com,28
60.592988,avatars.steamstatic.com,1
60.593049,avatars.steamstatic.com,28
60.597257,images-eds-ssl.xboxlive.com,1
60.597326,images-eds-ssl.xboxlive.com,28
60.602687,shared.valve.map.fastly.net,28
60.608677,static-resource.np.community.playstation.net,1
60.608731,static-resource.np.community.playstation.net,28
60.619910,e6234.d.akamaiedge.net,28
60.710873,psn-rsc.prod.dl.playstation.net,1
60.710933,psn-rsc.prod.dl.playstation.net,28
60.721772,e38.d.akamaiedge.net,28
104.013952,c-lhr10-b46a2c11.media.gaming-sdk.com,1
104.014101,c-lhr10-b46a2c11.media.gaming-sdk.com,28
106.463042,cms-assets-game-tools.game-tools.mgmt.1047games.com,1
106.463117,cms-assets-game-tools.game-tools.mgmt.1047games.com,28
127.134470,signaler-pa.clients6.google.com,28
136.559848,chatgpt.com,28
255.143415,treblo.com,28
255.143448,treblo.com,1
256.559779,chatgpt.com,1
261.156360,www.youtube.com,28
261.156395,www.youtube.com,1
301.375768,ext.surfshark.com,28
301.375801,ext.surfshark.com,1
369.818928,signaler-pa.clients6.google.com,1
382.873096,c-lhr15-5a25dead.media.gaming-sdk.com,1
382.873249,c-lhr15-5a25dead.media.gaming-sdk.com,28
