relative_seconds,direction,src,src_port,dst,dst_port,udp_payload_bytes,captured_frame_bytes
0.000000,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,55,97
0.055803,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,56,98
0.066839,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,52,94
0.105848,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,48,90
0.117255,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,27,69
0.117362,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,16,58
0.211766,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,31,73
0.213707,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,10,52
0.217490,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,356,398
0.217582,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
0.231885,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,18,60
0.234274,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,12,54
0.264623,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,105,147
0.265337,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,10,52
0.267725,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,23,65
0.281323,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
0.314914,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
0.595293,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
0.799287,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
1.004239,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
1.208832,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,11,53
1.318939,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
1.520145,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
1.823336,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
1.921538,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
2.232937,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
2.323302,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
2.541232,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
2.744922,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
2.949783,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
3.155885,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
3.359293,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
3.564676,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
3.768936,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
3.973701,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
4.179870,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
4.339111,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
4.588370,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
4.734153,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
5.000615,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
5.206759,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
5.408470,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
5.611954,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
5.816880,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
6.021703,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
6.228491,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
6.386847,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
6.636280,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
6.840869,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
7.046975,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
7.144973,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
7.460280,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
7.546482,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
7.762405,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
7.967508,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,13,55
8.171449,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
8.376888,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,11,53
8.581617,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,12,54
