event_id,event_type,utc,source,description,evidence_status
TYE-S001,server-session,2026-08-29T04:05:57.499000Z,PortalWars2-backup-2026.08.29-04.17.28.log,SERVER READY -> Browse -> server welcome; level /MAP_Simulation/SimulationDivide/SimulationDivide_Main; UDP/30566; overlaps TYE-CAP-03 filtered PCAP,observed
TYE-S002,server-session,2026-08-29T04:11:09.595000Z,PortalWars2-backup-2026.08.29-04.17.28.log,SERVER READY -> Browse -> server welcome; level /MAP_Simulation/SimulationMoshpit/SimulationMoshpit_Main; UDP/32276; overlaps TYE-CAP-03 filtered PCAP,observed
TYE-S003,server-session,2026-08-29T05:42:44.816000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Eden/Eden_Main; UDP/30485; overlaps TYE-CAP-04 filtered PCAP,observed
TYE-S004,server-session,2026-08-29T05:50:41.855000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Hammerhead/Hammerhead_Main; UDP/30064; overlaps TYE-CAP-04 filtered PCAP,observed
TYE-S005,server-session,2026-08-29T05:58:49.907000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Foregone_Destruction/Maps/Foregone_Destruction; UDP/30070; overlaps TYE-CAP-04 filtered PCAP,observed
TYE-S006,server-session,2026-08-29T06:06:38.826000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Ozone_Night/Ozone_Night_Main; UDP/32611; overlaps TYE-CAP-04 filtered PCAP,observed
TYE-S007,server-session,2026-08-29T06:18:49.442000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Karman_Station/Karman_Station_Main; UDP/31931; overlaps TYE-CAP-04 filtered PCAP,observed
TYE-S008,server-session,2026-08-29T06:25:55.191000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Oasis/Maps/Oasis_Main; UDP/30954; overlaps TYE-CAP-04 filtered PCAP,observed
TYE-S009,server-session,2026-08-29T06:33:18.553000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Core/Core_Main; UDP/31485; overlaps TYE-CAP-04 filtered PCAP,observed
TYE-S010,server-session,2026-08-29T06:41:26.573000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Containment/Containment_Main; UDP/32349; overlaps TYE-CAP-04 filtered PCAP,observed
TYE-S011,server-session,2026-08-29T07:04:39.049000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_TriHard/TriHard_Main; UDP/30265,observed
TYE-S012,server-session,2026-08-29T07:16:13.000000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Zenith/Zenith_Main; UDP/31009,observed
TYE-S013,server-session,2026-08-29T07:27:32.921000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Core/Core_Main; UDP/31292,observed
TYE-S014,server-session,2026-08-29T07:37:42.058000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Stadium/StadiumV2_Main; UDP/31325,observed
TYE-S015,server-session,2026-08-29T07:47:58.902000Z,PortalWars2-backup-2026.08.29-09.42.16.log,SERVER READY -> Browse -> server welcome; level /MAP_Frontier/Frontier_Main; UDP/31601,observed
