file,size_bytes,sha256,prefix_hex,prefix_ascii,unreal_cb_prefix,marker_resourceId,marker_gameNamespace,marker_contentType,marker_eTag,marker_items,marker_startsAt,marker_display,marker_includedGroups,printable_run_count,notes
bots-ACF6191886D134AC3330835FBCDA751F23846003E8BCBC15924A8F3E54219BEC,16804,e9270c728a6c20c1b3821bba8b8b3e7a740452b93308fb70f63323f2b361dc35,b7756362,·ucb,True,False,False,False,False,False,False,False,False,6,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
entitlements-757F123180E209E63AF5869A145A370DA4FDAA0B6D32011C97229D887C00CEDF,717543,27744e6d691f967b838f8afddf6bfcc769724132609d640f73e7f475561ec4e7,b7756362,·ucb,True,False,False,False,False,False,False,False,False,275,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
error-codes-A1E5BB7F64C4B2E9970758D4999ED3133B6C4B8AAB1A20CC71FEF0D46439FACB,9037,5865d884d5f38a78998ed21a690249331a238b2af0b4e7e2e8faed49eb320cbd,b7756362,·ucb,True,False,False,False,False,False,False,False,False,2,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
game-encryption-E0C42B82347FA77104C3E7242D6BDE74EDDCBA2E01949C0360AE6C6E364BFB20,81,c9412c1e063b4683bc4091c8c59454a0ded4ff83b0f95883d37accc4657c79c4,b7756362,·ucb,True,False,False,False,False,True,False,False,False,1,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
news-feed-493E7A0F94610E7F4A6EB57618CB4F62C9960606C71F47068A371C9E75111595,1088,f0bab15054b17ee76a9b55b1ae7479fb62738e6d96910b3bfcb393f3b10db9bb,b7756362,·ucb,True,True,True,True,True,False,False,False,False,1,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
news-feed-62835136B4A632175631BB7D078B8ADF53D75396F5566FE64E874879DD9BEE8F,951,bfd1aaff696694565e336b428f94b1e66251f5df0db3be20e41e589cc8d67d8b,b7756362,·ucb,True,True,True,True,True,False,False,False,False,1,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
news-feed-C61E3E1A8618F3DF3F059E95AD531DF2C2EED7FBC356DF6B0BC9CEB474BCBEEB,1088,f0bab15054b17ee76a9b55b1ae7479fb62738e6d96910b3bfcb393f3b10db9bb,b7756362,·ucb,True,True,True,True,True,False,False,False,False,1,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
price-tables-EAE5DA027F154EC1829431211E8D8AAEC15B078DF202941D1CE6F84C5D2E85DE,2336,fe7f17f94043b1fde322e09911b1a55f78674711c6a47e5545dbfc1d91a0fb7d,b7756362,·ucb,True,False,False,False,False,False,False,False,False,2,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
regions-6AC6282C8CF86C0878C9B09A6D2FE128A19ED6A8A9AE451B908ADE99E2F96DFF,1079,152f9cd52296fdce3e6e37cc1bac02b7a22be8ec21208ff5eb719e369ddad641,b7756362,·ucb,True,False,False,False,False,False,False,False,False,0,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
seasons-9695C56A0C986B6181DDBC9331F74C7437D58079008E53B3F6E4886502135138,791,9b634bbbf976419cea8d40d932f9c9b8d434f05acfbada51e45d799fe560ec27,b7756362,·ucb,True,True,True,True,True,False,True,True,False,1,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
seasons-B6F0D5B6138F9BFF3AFCB0DB3691492E41C78EB41A580E0E247F01E0A56C14C5,796,ab9bd7fdadba34174ea0f9587c237c39f51f52fbc9c7a0f87fb2d885edb97a04,b7756362,·ucb,True,True,True,True,True,False,True,True,False,1,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
stat-groups-BC50F78741DFC0AE2A9DB23449DEF910B8ABA99A21CE2CE35599BC40D9077861,1062,908e7df0068b99f71764bdf8739be26e4c305c0354f710f215b9e4c6b8483497,b7756362,·ucb,True,False,False,False,False,False,False,False,False,1,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
stat-system-aggregates-28ACE7C7AFD30721782CCD6460579F7A8FA832B4FBAEB920A0AF8B164C13204F,485,7b38a185e44cea59cf6650acf79a0f9b2e35360dd87f21905f79d7a5d8e64330,b7756362,·ucb,True,True,True,True,True,False,False,False,False,1,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
stats-leaderboards-9310991B8357601D7F22FFE39253EF3BBA37647E6EA87EF7D40CA1237FE6DD09,1175,24b9afd3a32ee3d14c6ec7ac89b284217b25d7f2494617181b8a954ce0b93e61,b7756362,·ucb,True,False,False,False,False,False,False,False,False,0,0xb7756362 prefix observed; structure is consistent with Unreal Compact Binary and should be decoded before publishing semantic claims.
