category,dataset,version,content_id,local_path,size_bytes,saved_timestamp,expiration_seconds,source_url
CMS/Snapshots,error-codes,0.0.38,A1E5BB7F64C4B2E9970758D4999ED3133B6C4B8AAB1A20CC71FEF0D46439FACB,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/error-codes-A1E5BB7F64C4B2E9970758D4999ED3133B6C4B8AAB1A20CC71FEF0D46439FACB,9037,16779558.6589235,86400,
Localization,error-codes,0.0.38,AF95322F483D6981C5413842235A790E325F3CFA6E4EAA5785AFDE5577D7A64D,PortalWars2/Saved/PersistentDownloadDir/Localization/error-codes-AF95322F483D6981C5413842235A790E325F3CFA6E4EAA5785AFDE5577D7A64D,41070,16779559.6876958,86400,
CMS/Snapshots,game-encryption,0.0.12,E0C42B82347FA77104C3E7242D6BDE74EDDCBA2E01949C0360AE6C6E364BFB20,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/game-encryption-E0C42B82347FA77104C3E7242D6BDE74EDDCBA2E01949C0360AE6C6E364BFB20,81,16779568.8751684,86400,
CMS/Snapshots,entitlements,0.0.173,757F123180E209E63AF5869A145A370DA4FDAA0B6D32011C97229D887C00CEDF,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/entitlements-757F123180E209E63AF5869A145A370DA4FDAA0B6D32011C97229D887C00CEDF,717543,16779570.3838337,86400,
CMS/Snapshots,news-feed,0.0.255,C61E3E1A8618F3DF3F059E95AD531DF2C2EED7FBC356DF6B0BC9CEB474BCBEEB,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/news-feed-C61E3E1A8618F3DF3F059E95AD531DF2C2EED7FBC356DF6B0BC9CEB474BCBEEB,1088,16779571.0784815,86400,
Localization,news-feed,0.0.255,D5C0398B913A0C17BBC0C5F6ACDAC8ED7E028B9A1BBC49183A3F2E575C5FB798,PortalWars2/Saved/PersistentDownloadDir/Localization/news-feed-D5C0398B913A0C17BBC0C5F6ACDAC8ED7E028B9A1BBC49183A3F2E575C5FB798,1331,16779571.7661048,86400,
Localization,daily-login-reward-pool,0.1.9,DB64BAC7C7B9D501479E30ECF7A117A3C2720AA615B5D22C87447155D3FD2809,PortalWars2/Saved/PersistentDownloadDir/Localization/daily-login-reward-pool-DB64BAC7C7B9D501479E30ECF7A117A3C2720AA615B5D22C87447155D3FD2809,1106,16779571.8021613,86400,
CMS/Snapshots,stat-groups,0.0.7,BC50F78741DFC0AE2A9DB23449DEF910B8ABA99A21CE2CE35599BC40D9077861,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/stat-groups-BC50F78741DFC0AE2A9DB23449DEF910B8ABA99A21CE2CE35599BC40D9077861,1062,16779589.2153227,86400,
CMS/Snapshots,regions,0.0.8,6AC6282C8CF86C0878C9B09A6D2FE128A19ED6A8A9AE451B908ADE99E2F96DFF,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/regions-6AC6282C8CF86C0878C9B09A6D2FE128A19ED6A8A9AE451B908ADE99E2F96DFF,1079,16779589.2195384,86400,
CMS/Snapshots,stats-leaderboards,0.0.5,9310991B8357601D7F22FFE39253EF3BBA37647E6EA87EF7D40CA1237FE6DD09,PortalWars2/Saved/PersistentDownloadDir/CMS/Snapshots/stats-leaderboards-9310991B8357601D7F22FFE39253EF3BBA37647E6EA87EF7D40CA1237FE6DD09,1175,16779589.2226076,86400,
