session_id,server_host_id,udp_port,server_ready_utc,browse_utc,welcome_utc,level,game_class,deathmatch_experience_observed,deathmatch_experience_utc,iris,oodle,dtls,stateless_connect,source_log,correlated_capture,exact_endpoint_packets_in_filtered_pcap,endpoint_host_packets_any_port_in_filtered_pcap
TYE-S001,WIN-SERVER-01,30566,2026-08-29T04:05:57.499000Z,2026-08-29T04:05:59.648000Z,2026-08-29T04:06:01.211000Z,/MAP_Simulation/SimulationDivide/SimulationDivide_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T04:06:12.157000Z,True,True,True,True,PortalWars2-backup-2026.08.29-04.17.28.log,TYE-CAP-03,0 in filtered export,0 in filtered export
TYE-S002,WIN-SERVER-02,32276,2026-08-29T04:11:09.595000Z,2026-08-29T04:11:11.775000Z,2026-08-29T04:11:13.280000Z,/MAP_Simulation/SimulationMoshpit/SimulationMoshpit_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T04:11:18.087000Z,True,True,True,True,PortalWars2-backup-2026.08.29-04.17.28.log,TYE-CAP-03,0 in filtered export,0 in filtered export
TYE-S003,WIN-SERVER-01,30485,2026-08-29T05:42:44.816000Z,2026-08-29T05:42:46.965000Z,2026-08-29T05:42:48.420000Z,/MAP_Eden/Eden_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T05:42:59.340000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,TYE-CAP-04,0 in filtered export,0 in filtered export
TYE-S004,WIN-SERVER-03,30064,2026-08-29T05:50:41.855000Z,2026-08-29T05:50:44.021000Z,2026-08-29T05:50:45.456000Z,/MAP_Hammerhead/Hammerhead_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T05:50:51.087000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,TYE-CAP-04,0 in filtered export,0 in filtered export
TYE-S005,WIN-SERVER-01,30070,2026-08-29T05:58:49.907000Z,2026-08-29T05:58:52.106000Z,2026-08-29T05:58:53.555000Z,/MAP_Foregone_Destruction/Maps/Foregone_Destruction,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,False,,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,TYE-CAP-04,0 in filtered export,0 in filtered export
TYE-S006,WIN-SERVER-04,32611,2026-08-29T06:06:38.826000Z,2026-08-29T06:06:40.991000Z,2026-08-29T06:06:42.563000Z,/MAP_Ozone_Night/Ozone_Night_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T06:19:26.625000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,TYE-CAP-04,0 in filtered export,0 in filtered export
TYE-S007,WIN-SERVER-05,31931,2026-08-29T06:18:49.442000Z,2026-08-29T06:18:51.608000Z,2026-08-29T06:18:52.995000Z,/MAP_Karman_Station/Karman_Station_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T06:19:26.625000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,TYE-CAP-04,0 in filtered export,0 in filtered export
TYE-S008,WIN-SERVER-05,30954,2026-08-29T06:25:55.191000Z,2026-08-29T06:25:57.357000Z,2026-08-29T06:25:58.728000Z,/MAP_Oasis/Maps/Oasis_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T06:26:04.394000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,TYE-CAP-04,0 in filtered export,0 in filtered export
TYE-S009,WIN-SERVER-06,31485,2026-08-29T06:33:18.553000Z,2026-08-29T06:33:20.712000Z,2026-08-29T06:33:22.193000Z,/MAP_Core/Core_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T06:33:28.880000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,TYE-CAP-04,0 in filtered export,0 in filtered export
TYE-S010,WIN-SERVER-01,32349,2026-08-29T06:41:26.573000Z,2026-08-29T06:41:28.739000Z,2026-08-29T06:41:30.190000Z,/MAP_Containment/Containment_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,False,,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,TYE-CAP-04,0 in filtered export,0 in filtered export
TYE-S011,WIN-SERVER-07,30265,2026-08-29T07:04:39.049000Z,2026-08-29T07:04:41.215000Z,2026-08-29T07:04:42.803000Z,/MAP_TriHard/TriHard_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T07:04:49.518000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S012,WIN-SERVER-01,31009,2026-08-29T07:16:13.000000Z,2026-08-29T07:16:15.166000Z,2026-08-29T07:16:16.618000Z,/MAP_Zenith/Zenith_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T07:16:54.485000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S013,WIN-SERVER-08,31292,2026-08-29T07:27:32.921000Z,2026-08-29T07:27:35.087000Z,2026-08-29T07:27:36.703000Z,/MAP_Core/Core_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T07:27:47.189000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S014,WIN-SERVER-05,31325,2026-08-29T07:37:42.058000Z,2026-08-29T07:37:44.257000Z,2026-08-29T07:37:45.680000Z,/MAP_Stadium/StadiumV2_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T07:38:24.747000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S015,WIN-SERVER-09,31601,2026-08-29T07:47:58.902000Z,2026-08-29T07:48:01.051000Z,2026-08-29T07:48:02.574000Z,/MAP_Frontier/Frontier_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T08:02:05.305000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S016,WIN-SERVER-05,30086,2026-08-29T08:01:23.099000Z,2026-08-29T08:01:25.249000Z,2026-08-29T08:01:26.687000Z,/MAP_Ozone_Night/Ozone_Night_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T08:02:05.305000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S017,WIN-SERVER-05,32072,2026-08-29T08:09:37.571000Z,2026-08-29T08:09:39.736000Z,2026-08-29T08:09:41.109000Z,/MAP_Frontier/Frontier_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T08:09:56.853000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S018,WIN-SERVER-01,31993,2026-08-29T08:27:22.427000Z,2026-08-29T08:27:24.576000Z,2026-08-29T08:27:26.008000Z,/MAP_Core/Core_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T08:27:32.656000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S019,WIN-SERVER-06,31243,2026-08-29T08:48:42.105000Z,2026-08-29T08:48:44.255000Z,2026-08-29T08:48:45.713000Z,/MAP_Abyss/Maps/Abyss_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T08:49:09.897000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S020,WIN-SERVER-01,31738,2026-08-29T08:50:40.245000Z,2026-08-29T08:50:42.395000Z,2026-08-29T08:50:43.745000Z,/MAP_Simulation/SimulationCharlie/SimulationCharlie_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T08:50:56.040000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S021,WIN-SERVER-05,30546,2026-08-29T08:56:53.491000Z,2026-08-29T08:56:55.657000Z,2026-08-29T08:56:57.105000Z,/MAP_Simulation/SimulationCharlie/SimulationCharlie_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T08:57:10.501000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S022,WIN-SERVER-06,31432,2026-08-29T09:03:36.826000Z,2026-08-29T09:03:39.005000Z,2026-08-29T09:03:40.434000Z,/MAP_Simulation/SimulationCharlie/SimulationCharlie_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T09:03:50.784000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S023,WIN-SERVER-06,30357,2026-08-29T09:09:18.746000Z,2026-08-29T09:09:20.912000Z,2026-08-29T09:09:22.360000Z,/MAP_Simulation/SimulationCharlie/SimulationCharlie_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T09:09:59.740000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S024,WIN-SERVER-06,31455,2026-08-29T09:18:53.781000Z,2026-08-29T09:18:55.947000Z,2026-08-29T09:18:57.426000Z,/MAP_Simulation/SimulationDivide/SimulationDivide_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T09:19:11.187000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S025,WIN-SERVER-06,30654,2026-08-29T09:27:47.547000Z,2026-08-29T09:27:49.713000Z,2026-08-29T09:27:51.166000Z,/MAP_Stadium/StadiumV2_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T09:28:10.600000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S026,WIN-SERVER-06,31164,2026-08-29T09:33:10.737000Z,2026-08-29T09:33:12.916000Z,2026-08-29T09:33:14.312000Z,/MAP_Stadium/StadiumV2_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T09:33:19.870000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S027,WIN-SERVER-06,31652,2026-08-29T09:34:53.823000Z,2026-08-29T09:34:55.972000Z,2026-08-29T09:34:57.469000Z,/MAP_Stadium/StadiumV2_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-29T09:35:09.144000Z,True,True,True,True,PortalWars2-backup-2026.08.29-09.42.16.log,,UNTESTED,UNTESTED
TYE-S028,WIN-SERVER-10,31034,2026-08-30T01:41:11.773000Z,2026-08-30T01:41:13.922000Z,2026-08-30T01:41:15.603000Z,/MAP_Frontier/Frontier_Main,/Game/GameModes/PortalWarsGameModeV2_BP.PortalWarsGameModeV2_BP_C,True,2026-08-30T01:41:21.778000Z,True,True,True,True,PortalWars2-backup-2026.08.30-02.05.20.log,,UNTESTED,UNTESTED
